Title,date,type,ERC
Statement of Reasons for Business Plan Regulations 2023,"
24/04/2023 ",Public Notice,DERC
"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation) (First Amendment) Regulations, 2023","
29/03/2023 ",Public Notice,DERC
"DERC (Terms and Conditions for Determination of Tariff) (First Amendment) Regulations, 2023","
29/03/2023 ",Public Notice,DERC
"DERC (Business Plan) Regulations, 2023","
29/03/2023 ",Public Notice,DERC
"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Fourth Amendment) Guidelines, 2022","
24/02/2022 ",Public Notice,DERC
Revocation of Order dated 10.01.2022,"
03/02/2022 ",Public Notice,DERC
"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Third Amendment) Guidelines, 2021","
28/09/2021 ",Public Notice,DERC
"Open Access Charges and related matters (Fourth Amendment) Order, 2021","
03/09/2021 ",Public Notice,DERC
Revocation of Order dated 27.04.2021,"
22/06/2021 ",Public Notice,DERC
Order dated 27.04.2021 in the matter of Suspension of Standards of Performance,"
27/04/2021 ",Public Notice,DERC
